sku,nombre,categoria,precio,stock,stock_minimo
SKU00001,Monitor 4K Razer,Electronica,16093.66,62,30
SKU00002,Mouse Apple,Accesorios,251.62,39,50
SKU00003,Pantalla Portatil HyperX,Electronica,3190.33,65,50
SKU00004,Chromebook Seagate,Electronica,12546.55,33,15
SKU00005,Teclado Corsair,Accesorios,436.72,84,50
SKU00006,Bocina Bluetooth MSI,Audio,1990.59,11,5
SKU00007,Audifonos Gaming Gigabyte,Audio,794.77,19,10
SKU00008,Procesador Gigabyte,Componentes,8758.07,10,5
SKU00009,MicroSD BenQ,Almacenamiento,782.53,18,15
SKU00010,Chromebook Gigabyte,Electronica,7871.30,22,10
SKU00011,Barra Sonido Sony,Audio,6873.84,9,20
SKU00012,Monitor 4K Epson,Electronica,10094.71,35,20
SKU00013,USB Drive Kingston,Almacenamiento,325.64,9,10
SKU00014,Notebook HP,Electronica,9471.95,128,50
SKU00015,Monitor Gaming Dell,Electronica,12562.32,24,20
SKU00016,Audifonos Kingston,Audio,506.67,117,50
SKU00017,Teclado Razer,Accesorios,914.06,65,25
SKU00018,RAM WD,Componentes,2032.68,65,25
SKU00019,NAS Gigabyte,Almacenamiento,15316.68,33,15
SKU00020,Mouse Gaming Acer,Accesorios,1589.76,52,20
SKU00021,Tarjeta Video Epson,Componentes,25543.78,42,20
SKU00022,Chromebook,Electronica,10083.99,1,5
SKU00023,Pantalla Portatil LG,Electronica,5042.50,11,10
SKU00024,HDD MSI,Almacenamiento,1681.98,43,15
SKU00025,Chromebook Apple,Electronica,11022.57,2,5
SKU00026,Mouse Gaming Acer,Accesorios,2367.96,10,25
SKU00027,Teclado Xiaomi,Accesorios,1254.59,128,50
SKU00028,Audifonos,Audio,290.80,27,10
SKU00029,Microfono LG,Audio,1394.07,14,25
SKU00030,MicroSD Apple,Almacenamiento,250.32,59,20
SKU00031,Stylus TP-Link,Accesorios,1439.68,6,5
SKU00032,Bocina Bluetooth Gigabyte,Audio,688.15,19,15
SKU00033,Teclado Apple,Accesorios,1091.84,5,10
SKU00034,SSD Externo Epson,Almacenamiento,2251.25,52,30
SKU00035,Tarjeta Video Xiaomi,Componentes,14540.78,4,50
SKU00036,Teclado Anker,Accesorios,1192.81,4,50
SKU00037,MicroSD,Almacenamiento,768.94,21,15
SKU00038,HDD Externo Lenovo,Almacenamiento,3541.33,4,20
SKU00039,SSD HP,Almacenamiento,2195.76,9,5
SKU00040,Ultrabook Samsung,Electronica,20573.45,48,20
SKU00041,Teclado Gaming TP-Link,Accesorios,2431.06,12,50
SKU00042,Pantalla Portatil Sony,Electronica,5955.22,18,20
SKU00043,Monitor Curvo HP,Electronica,11356.44,53,20
SKU00044,Procesador TP-Link,Componentes,2177.89,7,20
SKU00045,Notebook Seagate,Electronica,14947.31,8,10
SKU00046,Teclado Mecanico Asus,Accesorios,1822.23,8,5
SKU00047,Tarjeta Video Logitech,Componentes,13283.32,13,10
SKU00048,MacBook Corsair,Electronica,37276.90,2,20
SKU00049,Monitor MSI,Electronica,4527.61,8,50
SKU00050,Monitor Curvo Corsair,Electronica,18978.75,33,20
SKU00051,RAM Seagate,Componentes,1249.54,3,15
SKU00052,MicroSD Acer,Almacenamiento,735.03,5,5
SKU00053,Mouse Gaming Kingston,Accesorios,1417.77,18,20
SKU00054,Monitor Gigabyte,Electronica,7211.09,3,5
SKU00055,Microfono USB Xiaomi,Audio,614.27,36,50
SKU00056,Teclado Gaming,Accesorios,1722.02,43,30
SKU00057,Monitor Gaming BenQ,Electronica,18456.18,6,20
SKU00058,HDD WD,Almacenamiento,2808.65,8,15
SKU00059,Monitor Gaming Anker,Electronica,14207.68,10,5
SKU00060,Mouse Gaming LG,Accesorios,2504.64,4,15
SKU00061,Monitor Gaming BenQ,Electronica,14721.09,24,50
SKU00062,Teclado Gaming Canon,Accesorios,1616.25,87,50
SKU00063,Audifonos Gaming Dell,Audio,1120.99,116,50
SKU00064,HDD Asus,Almacenamiento,1869.05,13,30
SKU00065,MacBook MSI,Electronica,40231.67,44,25
SKU00066,Ultrabook MSI,Electronica,23687.98,1,5
SKU00067,Ultrabook MSI,Electronica,18391.32,51,25
SKU00068,Router Mesh,Redes,2135.38,68,25
SKU00069,Monitor Gaming Corsair,Electronica,10983.58,62,50
SKU00070,Notebook Logitech,Electronica,9799.14,12,30
SKU00071,Microfono Anker,Audio,1403.74,8,10
SKU00072,Ultrabook Canon,Electronica,23247.30,1,5
SKU00073,Stylus Samsung,Accesorios,1699.74,73,50
SKU00074,Ultrabook SanDisk,Electronica,11327.75,126,50
SKU00075,MacBook Gigabyte,Electronica,31470.27,7,10
SKU00076,Microfono USB BenQ,Audio,1485.66,45,20
SKU00077,Audifonos Gaming Asus,Audio,1669.19,48,30
SKU00078,Tarjeta Video Dell,Componentes,5427.02,7,30
SKU00079,Ultrabook Gigabyte,Electronica,23204.07,0,30
SKU00080,Stylus HyperX,Accesorios,1840.68,82,50
SKU00081,Bocina Lenovo,Audio,1329.49,13,15
SKU00082,Teclado Canon,Accesorios,437.51,25,20
SKU00083,Bocina HP,Audio,1655.97,41,25
SKU00084,Teclado Mecanico Apple,Accesorios,2209.68,129,50
SKU00085,Chromebook WD,Electronica,5678.17,92,50
SKU00086,Touchpad WD,Accesorios,878.66,69,25
SKU00087,Microfono USB LG,Audio,858.79,34,50
SKU00088,Notebook,Electronica,11967.23,17,15
SKU00089,USB Drive Razer,Almacenamiento,179.55,14,20
SKU00090,RAM BenQ,Componentes,2074.31,2,5
SKU00091,NAS Samsung,Almacenamiento,14874.30,3,5
